,name
753,chanab
754,sabina bano
755,archana  sharma
756,km nisha
757, sonu kumari
758,asrani
759,rawana
760,konti bai meena
761,navjat
762, uganti devi
763, sarin
764,dharma devi
765,mili
766,atiq
767,sipra
768, dharamvati
769,swetna
770, tara devi
771,mukesh devi
772,mallik  jayswal
773,keli devi
774,gulafshan
775,lata lalwani
776,singh
777,kripya minch
778,aakanksha
779,dewan
780,resham yadav
781,manisha garg
782,ritu
783,ranjana mukharji
784,siddhi
785,salupa
786,kumari saroj
787, manju  devi
788,jayoti
789,gori nandy
790,mohan devi
791,premjit
792,rimmi kaur
793,sonia kapoor
794,devika goyal
795,gungi
796,neeru
797,kumari doli
798,pawan
799,sanjna
800,lilaki  pooja
801,basnti
802,mjudi
803,dipika ahuja
804,kiriti
805,divya kor
806,suchi
807,seeta behen
808,minch
809,najda
810,neraj
811,rani singh
812, neelam
813, prami devi
814,ku  kamini
815,sonyi
816,gaud
817, roshni gupta
818,pahlwani
819,satnam kaur
820,sangeeta kumari
821,nirjala
822,mota
823,gulnaza
824,nazmin
825,rukya jan
826,lavli
827,goyar
828,manbai rekwar
829,kalbi
830,nibo devi
831,miss leela  purohit
832,nimmy
833,kum rekha
834,kum sangita
835,jhingi  hago barjo ro vill murchi postps
836,bismilla
837,fuli paagdiya
838,deepali singh
839,budhwanti
840,shakya
841,jai shree
842,surjiya
843,anjali sangwar
844,sonu yadav
845,aasa
846,kiski
847,radikha
848,preety
849,sunwar
850,sukmani
851,shakuntla
852,bidhya
853,kavit
854,purve
855,silpi
856,mho
857,raziya
858,sabarwal
859,kothari
860,geeta devi with her son  aditya
861, dharamveeri
862,jayada khatoon
863,foola
864,saiesta
865,smarti
866,gudia  seema
867,huma
868,salmi
869,mansa
870,baljeet kaur
871,amarjit
872,pushpender kaur  khushi
873,tejender
874,sahida
875,mongia
876,kumara meena
877, suzata
878,ismaliye  khusbu
879,tisha
880,rinesh
881,jaswinder
882, rakhi
883,sonu sharma
884,nandni  late jagdish
885,santosh kaur
886,simren
887,foolmati
888,roshni
889,pawni
890,mahjabi
891,srishty
892,kavita devi alongwith her son nitin age  yrs
893,madhu kunwar
894,noorin
895,deepanshi
896,seeba
897,aarti rajpoot
898,sonal seth
899,sarwesh
900,reena  laxmi
901,bindvasini
902,busra
903,pammy
904,kanchan bai
905,kadu nisha khatik
906,himanshi  roshani
907,shika haldhar
908,pati
909,roy
910,morya
911,megwal
912,bheem
913,kumari priyanka
914,monini  rupa
915,tripti
916,dalima
917,arti kumari sahu
918,reshma khatoon
919,rini
920,satnam
921,sivani
922,balda
923,ku prabha sharma
924,parwati meena
925,dhasmana
926,rachpreet
927,bhuli merutha
928,sunita urf sonu
929,sushree    pooja
930,simmy
931,rachnu
932,janky
933,manmeet
934,pangita
935,gulab bano
936,bivi
937,avastha
938, motiya
939,sahjadi
940,meenakshi  nisha
941,parvinder
942, sapana
943,jjr
944,rekha  muskan
945,krashana
946,diksha
947,ajju
948,deepu  nisha
949,tina
950,nesha
951,jakhotia
952,narmda
953,nisha rani
954,rosan
955,sumedha
956,suhani singhal
957,kumari anju
958,ramdhani
959,mandi
960,vinod gupta
961,anaji
962,shukramani
963,suraj kumari
964,jenny
965,vimlesh kumarilaxmi
966,ashanjali
