,actual,LGBM
347641,481.0,474.1055125015028
128379,272.0,273.28989438992755
165809,295.0,292.34853615664775
264309,200.0,189.61962332680005
402225,160.0,149.753212897396
169637,567.5,562.7769620703165
344600,300.0,252.81731171694747
199296,637.5,635.6120382796398
44553,120.0,257.16100308655
220342,165.0,179.01472139384626
309224,0.0,3.2234973851302042
105261,250.0,282.2512473486206
215486,200.0,148.57427309749687
148554,635.0,622.6207058433722
226339,177.5,156.21779550022083
148265,293.0,285.00192567773297
411362,210.0,159.7834958333213
80218,120.0,128.69392899556735
377607,150.0,142.49261840622657
323347,150.0,157.71658401996146
357837,500.0,481.71042648774386
24079,201.28,195.8852631033168
82815,148.0,127.78697111093508
118724,86.0,115.34351513907284
22486,697.0,697.3734029066156
273283,215.0,165.67959982850303
167913,112.5,150.23833075808554
391468,266.7,273.7205552774755
170864,237.94,212.71221610499063
69449,259.97,240.03620078906764
129696,240.74,246.82181753544504
105435,342.09,243.92972078569122
369880,91.08,104.7815705157088
421073,250.0,241.06254257036096
325770,500.0,496.93460674852383
318797,90.0,91.72967340048339
111479,80.0,80.11671144701768
89695,150.0,174.83260350323877
148914,340.36,271.3350720120875
387461,177.69,150.4750244921728
95879,650.0,604.1880401277797
286940,0.0,1.0032197475231872
114955,340.0,141.39407301902236
272056,470.0,461.07136955479206
205632,370.0,365.00414952341816
11468,96.25,252.45645602225838
270227,375.0,375.04452323827854
234074,245.0,216.17280426466846
266748,500.0,471.16877526219116
222293,200.0,155.4171699502956
25143,375.0,343.9623985439338
310574,425.0,430.5953978252423
342712,350.0,336.2986646039581
66566,279.65,218.5757496693919
103888,495.0,504.0366694654677
287447,105.0,117.27593618616112
48101,337.8,261.5888766431903
384915,250.0,246.48154454265625
396492,35.0,106.9063672444296
304931,142.5,141.84270474887677
157070,145.0,134.2888937456255
388592,143.0,131.11428014995442
333940,190.0,121.81044417090337
138202,166.52,149.1948669996206
1739,500.0,498.1585516365813
308409,685.0,649.5081832630804
